12000;Вторник 21.11;18:25;;Менеджмент;лекция;https://teams.microsoft.com/l/team/19%3aM7YVb2LJ6K4ZCQRGBefQOo1AdVXiCifL1feUfukOtug1%40thread.tacv2/conversations?groupId=69af095d-b431-450c-953f-04cdf8632c8c&tenantId=3006f437-ac49-4f8a-9cc1-ffb2690b553d;MS Teams;доцент;Чугунова Е.С.
12000;Среда 22.11;18:25;;Бухгалтерский учет и анализ;лабораторная;https://teams.microsoft.com/l/team/19%3aDOte7oxMVK2iy3mGJ3tcF_fqd8EZqGXcArebm_QQLXE1%40thread.tacv2/conversations?groupId=379737f6-8c54-4080-942a-93c09fe3ff69&tenantId=3006f437-ac49-4f8a-9cc1-ffb2690b553d;MS Teams;доцент;Елизарова Н.Ю
12000;Четверг 23.11;18:25;;Иностранный язык;практика;https://teams.microsoft.com/l/team/19%3ac7w2KaTQuHlfe_AvFLiF02tQlSJwe0nBEbJAaj8UVYo1%40thread.tacv2/conversations?groupId=97c3674e-bb29-4aaf-8867-343d9be6ce0c&tenantId=3006f437-ac49-4f8a-9cc1-ffb2690b553d;MS Teams;доцент;Хайруллина Н.Р.
12000;Понедельник 27.11;18:25;;Эконометрика;практика;https://teams.microsoft.com/l/team/19%3aZFmGp1V1aSz0_85PDRvZnHnlQBEhP_mpDrdQXQyq31o1%40thread.tacv2/conversations?groupId=e30b9fe7-4eb4-4da5-9b7b-6cac738419d0&tenantId=3006f437-ac49-4f8a-9cc1-ffb2690b553d;MS Teams;доцент;Валиуллин Р.З.
12000;Вторник 28.11;16:50;;Статистика;лекция;https://teams.microsoft.com/l/team/19%3autdG37pNjnNxMgmHQPzoml8Xs4Vs7ZlCK4hI9TrXMgI1%40thread.tacv2/conversations?groupId=b90ce846-c75e-4415-84f3-270213a162ed&tenantId=3006f437-ac49-4f8a-9cc1-ffb2690b553d;MS Teams;Ст.препод.;Чугунов К.В.
12000;Понедельник  04.12;18:25;;Эконометрика;практика;https://teams.microsoft.com/l/team/19%3aZFmGp1V1aSz0_85PDRvZnHnlQBEhP_mpDrdQXQyq31o1%40thread.tacv2/conversations?groupId=e30b9fe7-4eb4-4da5-9b7b-6cac738419d0&tenantId=3006f437-ac49-4f8a-9cc1-ffb2690b553d;MS Teams;доцент;Валиуллин Р.З.
12000;Среда 06.12;16:50;;Налоги и налогообложение;практика(зачет);https://teams.microsoft.com/l/team/19%3ax1qEqrH_arRoNP_QUHc4xXSQYT2gPhFzl0JOHF3kmYs1%40thread.tacv2/conversations?groupId=c9ea04bc-b0d0-4037-8c95-551a3d4fef90&tenantId=3006f437-ac49-4f8a-9cc1-ffb2690b553d;MS Teams;доцент;Пурис А.В.
12000;Понедельник  11.12;18:25;;Эконометрика;практика;https://teams.microsoft.com/l/team/19%3aZFmGp1V1aSz0_85PDRvZnHnlQBEhP_mpDrdQXQyq31o1%40thread.tacv2/conversations?groupId=e30b9fe7-4eb4-4da5-9b7b-6cac738419d0&tenantId=3006f437-ac49-4f8a-9cc1-ffb2690b553d;MS Teams;доцент;Валиуллин Р.З.
12000;Вторник 12.12;16:50;;Статистика;лекция;https://teams.microsoft.com/l/team/19%3autdG37pNjnNxMgmHQPzoml8Xs4Vs7ZlCK4hI9TrXMgI1%40thread.tacv2/conversations?groupId=b90ce846-c75e-4415-84f3-270213a162ed&tenantId=3006f437-ac49-4f8a-9cc1-ffb2690b553d;MS Teams;Ст.препод.;Чугунов К.В.
12000;Среда 13.12;16:50;;Бухгалтерский учет и анализ;лекция;https://teams.microsoft.com/l/team/19%3aDOte7oxMVK2iy3mGJ3tcF_fqd8EZqGXcArebm_QQLXE1%40thread.tacv2/conversations?groupId=379737f6-8c54-4080-942a-93c09fe3ff69&tenantId=3006f437-ac49-4f8a-9cc1-ffb2690b553d;MS Teams;доцент;Елизарова Н.Ю
